what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375581652
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375582230
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375583097
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375588087
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375588094
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375588299
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375591221
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375598766
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309375605812
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375608898
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375614459
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375621021
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375663216
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375665913
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375666736
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375674227
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375827528
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375827535
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375827630
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375830198
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375831254
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375832740
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1309375842563
stopped,bundle,org.eclipse.mylyn.pde.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.pde.ui",1309375842658
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1309375842719
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1309375842893
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1309375843192
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1309375843320
stopped,bundle,in.cypal.tools.eclipse.utils,1.0.0.200806302223,"in.cypal.tools.eclipse.utils",1309375843389
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1309375843706
stopped,bundle,org.eclipse.gmf.codegen.ui,1.1.200.v20100302-2359,"org.eclipse.gmf.codegen.ui",1309375843706
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1309375843706
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1309375843706
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1309375843884
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1309375843945
stopped,bundle,org.eclipse.emf.compare.ui,1.1.2.v20110202-0936,"org.eclipse.emf.compare.ui",1309375844032
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1309375844087
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1309375844153
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1309375844317
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1309375844317
stopped,bundle,org.eclipse.emf.mint.ui,0.9.0.v201006142335,"org.eclipse.emf.mint.ui",1309375844318
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1309375844429
